✅ Preferred copy,Component slot,Component type,Description,Intent,Product,Screenshot,Status,UX Element,Unique ID,❌ Less preferred copy
P2P services are unavailable in your country.,,,,,"P2P, V2, not available, restricted countries",,Not started,Error message,255,"We’re sorry, but P2P services are not available in your country. Due to regional restrictions, you are unable to access this feature. If you believe this is an error, please contact our support team for further assistance."
"Withdrawals currently unavailable
This may be due to maintenance or unsupported payment methods. To add a new payment method, make a small deposit.
Note: Deposits made through payment agents, Deriv P2P, or cryptocurrency must be withdrawn using their respective pages.",,,,,"Payment methods, cashier, withdrawal not available",,Not started,Maintenance message,256,
Verify with passkey,,,,,,,Not started,,257,
Deposit funds,,,,,Deriv GO,,Not started,,258,
Your import failed due to an invalid file. Upload a complete file in XML format.,,,,,Deriv Bot,,Not started,Error message,259,"The strategy file you attempted to upload is invalid. Please check the file format and completeness, and try again."
Transfer funds,,,,,Deriv GO,,Not started,Secondary button,260,
"MT5 account alert
Trading on your MT5 account will be disabled in 5 days due to inactivity. Log in now to keep it active.",,,,,"MT5, PN, Push Notification, inactive account",,Not started,"Inline message, warning",261,
CFDs: Your all-in-one access to financial and derived instruments.,,,,,"EU wallet, Multipliers account",,Not started,Infobox,262,
"Verification in progress
Your documents require additional review. We’ll get back to you in 1–3 business days.",,,,,"Onfido, POI, fail verification, failed attempts",,Not started,Error message,263,"Your documents were submitted successfully
We’ll review your documents and notify you of its status within 1–3 working days."
"Deriv Trader: Custom charts, low-entry costs.",,,,,"EU wallet, Multipliers account",,Not started,Infobox,264,
Step into real trading,,,Landing on deriv v2 and seeing a banner,,V2,UX%20content%20bricks/Screenshot_2025-10-01_at_12.01.45.png,Not started,CTA,265,Experience real trading / Your path to real trading
Set up and verify profile,,,,,V2,UX%20content%20bricks/Screenshot_2025-10-01_at_12.01.45%201.png,Not started,Banner: Title,266,
Come back anytime - You can always revisit the guide in Support under Guide.,,,,,V2,UX%20content%20bricks/Screenshot_2025-10-01_at_12.12.05.png,Not started,Coachmark,267,
Help Centre,,,,,V2,UX%20content%20bricks/Screenshot_2025-10-01_at_12.04.02.png,Not started,CTA,268,Help centre / Help center
"Everything in one portfolio - Manage your Wallets, trading accounts and all your transactions instantly and easily.",,,,,V2,UX%20content%20bricks/Screenshot_2025-10-01_at_12.05.23.png,Not started,Coachmark,269,"Header: Portfolio at a glance
Body: Keep Wallets, trading accounts, deposits and withdrawals organised in one view."
Trade CFDs - Access global markets with leverage up to 1:1000 on MT5 and cTrader.,,,,,V2,UX%20content%20bricks/Screenshot_2025-10-01_at_12.08.58.png,Not started,Coachmark,270,
"Trade Options - Access 80+ assets, from Forex and Stocks to Commodities and exclusive Derived Indices.",,,,,V2,UX%20content%20bricks/Screenshot_2025-10-01_at_12.05.23%201.png,Not started,Coachmark,271,
Explore more - Discover everything available for you,,,,,V2,UX%20content%20bricks/Screenshot_2025-10-01_at_12.11.32.png,Not started,Coachmark,272,
Total value,,,,,V2,UX%20content%20bricks/Screenshot_2025-10-01_at_12.15.29.png,Not started,,273,Total balance / Combined balance
"Activate Options account - To start trading options with real funds, activate your Options account - Activate",,,,,V2,UX%20content%20bricks/Screenshot_2025-10-01_at_12.17.22.png,Not started,Action screen: Title and description,274,
There’s already an account with this email. Log in or enter another email.,,,,,V2,UX%20content%20bricks/Screenshot_2025-10-01_at_12.18.11.png,Not started,Field error,275,
,,,,,,,Not started,,276,
Your home address must match your current location and any document you may upload later.,,,,,V2,UX%20content%20bricks/Screenshot_2025-10-02_at_14.04.11.png,Not started,Inline message,277,
Incorrect code. You have [x] attempts left.,,,,,V2,UX%20content%20bricks/Screenshot_2025-10-02_at_14.04.56.png,Not started,Field error,278,
There’s already an account linked to this number. Try a different number.,,,,,V2,UX%20content%20bricks/Screenshot_2025-10-02_at_14.06.13.png,Not started,Field error,279,
Deposits under the minimum amount cannot be completed and the funds will be lost.,,,,,V2,UX%20content%20bricks/Screenshot_2025-10-02_at_14.08.57.png,Not started,Banner: Warning message,280,
This number is already in use.,,,,,V2,UX%20content%20bricks/Screenshot_2025-10-21_at_11.25.45.png,Not started,Field error,281,This number is already registered.
This email is already in use.,,,,,V2,UX%20content%20bricks/Screenshot_2025-10-21_at_11.26.24.png,Not started,Field error,282,This email is already registered.
Incorrect phone number,,,,,V2,UX%20content%20bricks/Screenshot_2025-10-28_at_15.01.58.png,Not started,Field error,287,Invalid phone number
"Title: Deriv P2P balance
Body: Your Deriv P2P balance is made up of:
• Funds you received from buying USD on Deriv P2P.
• Profits from your trades, which you can sell to other Deriv P2P users.
• Deposits you made through non-reversible payment methods.Note: Funds deposited using reversible payment methods, like credit cards, Maestro, Diners Club, ZingPay, Skrill, Neteller, Ozow, and UPI QR, will not appear in your P2P balance.",,,The current message we display when Deriv P2P users check their available Deriv P2P balance is not clear. To do: Improve the message. Make it clear that their Deriv P2P balance cannot be withdrawn or refunded back to the original payment method.,,"MT5, P2P",UX%20content%20bricks/Screenshot_2026-01-23_at_15.23.44.png,Not started,Banner: Title,288,
"Important: Verify the address on this page before each deposit to avoid losing funds. Occasionally, the address could be updated.",,,,,All,UX%20content%20bricks/Screenshot_2026-01-23_at_15.32.52.png,Not started,Banner,289,Announcement: We have updated our address. Please use this new address to avoid any disruptions.
A better Deriv P2P experience,,,Mandatory update for Deriv P2P app,,P2P,,Not started,Banner: Title,290,
Pause my ads,,,Toggle for pausing ads and resuming ads. This is a discussion with the designer about whether we should use “pause” or “hide” for P2P ads.,,P2P,UX%20content%20bricks/Screenshot_2026-02-25_at_09.54.36.png,Not started,Toggle,291,Hide my ads
Update the app to get the latest improvements: • Smoother performance • Stronger protection • Refreshed design,,,Mandatory update for Deriv P2P app,,P2P,,Not started,Banner: Body,292,
All your ads are paused,,,"This is a modal that shows up after the user clicks “Pause my ads” toggle in Deriv P2P. In this modal, the logic is that the ads have been paused when they activate the toggle. This modal is basically to reinstate / confirm to users that the ads have been paused.",,P2P,UX%20content%20bricks/Screenshot_2026-02-24_at_11.50.39.png,Not started,"Banner: Title, Modal",293,All your ads will be paused
Your active ads won’t appear in the marketplace. You won’t receive new orders until you turn this off.,,,"This is a modal that shows up after the user clicks “Pause my ads” toggle in Deriv P2P. In this modal, the logic is that the ads have been paused when they activate the toggle. This modal is basically to reinstate / confirm to users that the ads have been paused.",,P2P,UX%20content%20bricks/Screenshot_2026-02-24_at_11.50.39.png,Not started,"Banner: Body, Modal",294,
Only 1 Alipay account allowed,,,,,P2P,UX%20content%20bricks/Screenshot_2026-02-25_at_10.03.29.png,Not started,Label,295,Only 1 Alipay allowed
Use browser to log in,,,"When user tries to do social login via app, we give them a warning mentioning that social login is currently unavailable, and that they can continue to log in via browser instead.",,V2,,Not started,"Error, Error message: title, Modal",296,
,,,,,V2,,Not started,,297,
Log in via browser,,,"When user tries to do social login via app, we give them a warning mentioning that social login is currently unavailable, and that they can continue to log in via browser instead.",,V2,,Not started,"CTA, Error, Modal",298,
Social login is not available at the moment. Continue by logging in via your browser with your Deriv account.,,,"When user tries to do social login via app, we give them a warning mentioning that social login is currently unavailable, and that they can continue to log in via browser instead.",,V2,,Not started,"Error, Error message: description, Modal",299,
No funds available to transfer yet. Funds deposited using refundable payment methods cannot be transferred to P2P Wallet.,Body,Page section,This is Deriv P2P case. User still has balance but the balance was deposited using reversible payment method and therefore cannot be transferred to P2P Wallet.,Guidance,P2P,,Done,"Warning title, Banner",300,No transferable funds yet for P2P wallet. Funds deposited via reversible payment methods cannot be moved to P2P wallet.
Only 300.00 USD is available to transfer. The rest was deposited using refundable payment methods.,Body,Page section,This is Deriv P2P case. User still has a lot of balance but the amount of money that can be transferred is only 300 USD because the rest of the balance was deposited using a reversible payment method.,Guidance,P2P,,Done,"Warning title, Banner",301,Only 300.00 USD is available to transfer. The rest of your balance is from reversible deposits and cannot be moved to P2P wallet.
