✅ Preferred copy,❌ Less preferred copy,UX Element,Component type,Component slot,Description,Intent,Product,Status,Screenshot,Unique ID
Enter your tax identification number,"• Enter your Tax identification number
• Enter your Tax Identification Number
• Enter your Tax Identification Number (TIN
• Enter your TIN",Placeholder,,,,,Trader’s Hub,Not started,,235
Tax identification number format is incorrect.,Tax identification number format is invalid.,Error message,,,,,,Not started,,236
"Switch to demo account
I will set up my real account later.","Take me to Demo account
I will setup my real account later.",Action screen: Title and description,,,,,,Not started,,241
"Your Deriv P2P balance is made up of:
• Funds you received from buying USD on Deriv P2P.
• Profits from your trades, which you can sell to other Deriv P2P users.
• Deposits you made through non-reversible payment methods.
Note: Funds deposited using reversible payment methods, like credit cards, Maestro, Diners Club, ZingPay, Skrill, Neteller, Ozow, and UPI QR, will not appear in your P2P balance.","Your Deriv P2P balance only includes deposits that can’t be reversed.
Deposits via cards and the following payment methods aren’t included: Maestro, Diners Club, ZingPay, Skrill, Neteller, Ozow, and UPI QR.",Action screen,,,,,P2P,Not started,,237
"Enhanced Deriv P2P balance information
Your Deriv P2P balance display has become more detailed. Now, you can see a clearer breakdown of your Deriv P2P balance, making it easier to understand your funds’ sources.",,,,,,,,Not started,,233
"Security verification
We need to verify your identity before removing this passkey.",,,,,,,,Not started,,242
Verify with passkey,,,,,,,,Not started,,257
Verify with email,,,,,,,,Not started,,246
"Transaction processing
Your deposit is being processed securely. You can continue using your account. We’ll notify you when it’s complete.",,,,,,,,Not started,,254
"Leave page?
Are you sure you want to leave this page? Changes made will not be saved.",,,,,,,,Not started,,249
P2P registration requires a verified phone number,,Error message,,,,,P2P,Not started,,250
Easily exchange USD with local currency using Deriv P2P,Buy and sell USD with your local currency via Deriv P2P.,Inline message: Description,,,,,P2P,Not started,,247
Insufficient balance,,,,,,,,Not started,,251
"Your account balance is below the minimum withdrawal limit. To withdraw funds:
• Deposit more funds into this account; or
• Transfer funds from another account.",,,,,,,,Not started,,244
Deposit funds,,,,,,,Deriv GO,Not started,,258
Transfer funds,,Secondary button,,,,,Deriv GO,Not started,,260
Enter an amount equal to or higher than [value].,,,,,,,,Not started,,245
Enter an amount equal to or lower than [value].,,,,,,,,Not started,,248
Make your first deposit and start trading,,,,,,,Trader’s Hub,Not started,,252
Your import failed due to an invalid file. Upload a complete file in XML format.,"The strategy file you attempted to upload is invalid. Please check the file format and completeness, and try again.",Error message,,,,,Deriv Bot,Not started,,259
P2P services are unavailable in your country.,"We’re sorry, but P2P services are not available in your country. Due to regional restrictions, you are unable to access this feature. If you believe this is an error, please contact our support team for further assistance.",Error message,,,,,"P2P, V2, not available, restricted countries",Not started,,255
Your home address must match your current location and any document you may upload later.,,Inline message,,,,,V2,Not started,UX%20content%20bricks/Screenshot_2025-10-02_at_14.04.11.png,277
Incorrect code. You have [x] attempts left.,,Field error,,,,,V2,Not started,UX%20content%20bricks/Screenshot_2025-10-02_at_14.04.56.png,278
There’s already an account linked to this number. Try a different number.,,Field error,,,,,V2,Not started,UX%20content%20bricks/Screenshot_2025-10-02_at_14.06.13.png,279
Deposits under the minimum amount cannot be completed and the funds will be lost.,,Banner: Warning message,,,,,V2,Not started,UX%20content%20bricks/Screenshot_2025-10-02_at_14.08.57.png,280
This number is already in use.,This number is already registered.,Field error,,,,,V2,Not started,UX%20content%20bricks/Screenshot_2025-10-21_at_11.25.45.png,281
This email is already in use.,This email is already registered.,Field error,,,,,V2,Not started,UX%20content%20bricks/Screenshot_2025-10-21_at_11.26.24.png,282
Use browser to log in,,"Error, Error message: title, Modal",,,"When user tries to do social login via app, we give them a warning mentioning that social login is currently unavailable, and that they can continue to log in via browser instead.",,V2,Not started,,296
Social login is not available at the moment. Continue by logging in via your browser with your Deriv account.,,"Error, Error message: description, Modal",,,"When user tries to do social login via app, we give them a warning mentioning that social login is currently unavailable, and that they can continue to log in via browser instead.",,V2,Not started,,299
Log in via browser,,"CTA, Error, Modal",,,"When user tries to do social login via app, we give them a warning mentioning that social login is currently unavailable, and that they can continue to log in via browser instead.",,V2,Not started,,298
,,,,,,,V2,Not started,,297
"Withdrawals currently unavailable
This may be due to maintenance or unsupported payment methods. To add a new payment method, make a small deposit.
Note: Deposits made through payment agents, Deriv P2P, or cryptocurrency must be withdrawn using their respective pages.",,Maintenance message,,,,,"Payment methods, cashier, withdrawal not available",Not started,,256
Multipliers: Leverage your trading; risk only what you put in.,,Infobox,,,,,"EU wallet, Multipliers account",Not started,,253
"Deriv Trader: Custom charts, low-entry costs.",,Infobox,,,,,"EU wallet, Multipliers account",Not started,,264
CFDs: Your all-in-one access to financial and derived instruments.,,Infobox,,,,,"EU wallet, Multipliers account",Not started,,262
"Verification in progress
Your documents require additional review. We’ll get back to you in 1–3 business days.","Your documents were submitted successfully
We’ll review your documents and notify you of its status within 1–3 working days.",Error message,,,,,"Onfido, POI, fail verification, failed attempts",Not started,,263
"MT5 account alert
Trading on your MT5 account will be disabled in 5 days due to inactivity. Log in now to keep it active.",,"Inline message, warning",,,,,"MT5, PN, Push Notification, inactive account",Not started,,261
"Title: Deriv P2P balance
Body: Your Deriv P2P balance is made up of:
• Funds you received from buying USD on Deriv P2P.
• Profits from your trades, which you can sell to other Deriv P2P users.
• Deposits you made through non-reversible payment methods.Note: Funds deposited using reversible payment methods, like credit cards, Maestro, Diners Club, ZingPay, Skrill, Neteller, Ozow, and UPI QR, will not appear in your P2P balance.",,Banner: Title,,,The current message we display when Deriv P2P users check their available Deriv P2P balance is not clear. To do: Improve the message. Make it clear that their Deriv P2P balance cannot be withdrawn or refunded back to the original payment method.,,"MT5, P2P",Not started,UX%20content%20bricks/Screenshot_2026-01-23_at_15.23.44.png,288
A better Deriv P2P experience,,Banner: Title,,,Mandatory update for Deriv P2P app,,P2P,Not started,,290
Update the app to get the latest improvements: • Smoother performance • Stronger protection • Refreshed design,,Banner: Body,,,Mandatory update for Deriv P2P app,,P2P,Not started,,292
Pause my ads,Hide my ads,Toggle,,,Toggle for pausing ads and resuming ads. This is a discussion with the designer about whether we should use “pause” or “hide” for P2P ads.,,P2P,Not started,UX%20content%20bricks/Screenshot_2026-02-25_at_09.54.36.png,291
All your ads are paused,All your ads will be paused,"Banner: Title, Modal",,,"This is a modal that shows up after the user clicks “Pause my ads” toggle in Deriv P2P. In this modal, the logic is that the ads have been paused when they activate the toggle. This modal is basically to reinstate / confirm to users that the ads have been paused.",,P2P,Not started,UX%20content%20bricks/Screenshot_2026-02-24_at_11.50.39.png,293
Your active ads won’t appear in the marketplace. You won’t receive new orders until you turn this off.,,"Banner: Body, Modal",,,"This is a modal that shows up after the user clicks “Pause my ads” toggle in Deriv P2P. In this modal, the logic is that the ads have been paused when they activate the toggle. This modal is basically to reinstate / confirm to users that the ads have been paused.",,P2P,Not started,UX%20content%20bricks/Screenshot_2026-02-24_at_11.50.39.png,294
Only 1 Alipay account allowed,Only 1 Alipay allowed,Label,,,,,P2P,Not started,UX%20content%20bricks/Screenshot_2026-02-25_at_10.03.29.png,295
"Important: Verify the address on this page before each deposit to avoid losing funds. Occasionally, the address could be updated.",Announcement: We have updated our address. Please use this new address to avoid any disruptions.,Banner,,,,,All,Not started,UX%20content%20bricks/Screenshot_2026-01-23_at_15.32.52.png,289
No funds available to transfer yet. Funds deposited using refundable payment methods cannot be transferred to P2P Wallet.,No transferable funds yet for P2P wallet. Funds deposited via reversible payment methods cannot be moved to P2P wallet.,"Warning title, Banner",Page section,Body,This is Deriv P2P case. User still has balance but the balance was deposited using reversible payment method and therefore cannot be transferred to P2P Wallet.,Guidance,P2P,Done,,300
Only 300.00 USD is available to transfer. The rest was deposited using refundable payment methods.,Only 300.00 USD is available to transfer. The rest of your balance is from reversible deposits and cannot be moved to P2P wallet.,"Warning title, Banner",Page section,Body,This is Deriv P2P case. User still has a lot of balance but the amount of money that can be transferred is only 300 USD because the rest of the balance was deposited using a reversible payment method.,Guidance,P2P,Done,,301
